Ticker,Company Name,Description,Market Cap (USD),Avg Daily Volume (M),Delta This Year (%),Delta Last Year (%),Delta Total (%)
SYM,Symbotic Inc.,"Symbotic Inc., an automation technology company, develops technologies to enhance operating efficiencies in modern warehouses. The company automates the processing of pallets and cases in large warehouses or distribution centers for retail companies. Its systems enhance operations at the front end of the supply chain. The company is headquartered in Wilmington, Massachusetts.",$13.17B,1.54M,-1.76,N/A,-1.7551623949535526
GXO,"GXO Logistics, Inc.","GXO Logistics, Inc., together with its subsidiaries, provides logistics services worldwide. The company provides warehousing and distribution, order fulfilment, e-commerce, reverse logistics, and other supply chain services. As of December 31, 2024, it operated in 1,030 facilities. The company serves a range of customers in the e-commerce, omnichannel retail, technology and consumer electronics, food and beverage, industrial and manufacturing, consumer packaged goods, and other industries. GXO Logistics, Inc. was incorporated in 2021 and is headquartered in Greenwich, Connecticut.",$4.82B,0.95M,-12.37,N/A,-12.372478403944564
AUTO.OL,AUTOSTORE HOLDINGS LTD.,"AutoStore Holdings Ltd., a robotic and software technology company, provides warehouse automation solutions in Norway, Germany, rest of Europe, the United States, Asia, and internationally. It offers grids, ports, bins, robots, workstations, controllers, and spare parts. The company also provides Qublt Fulfillment Platform, a warehouse management software; PickUpPort that offers frictionless in-store pickup options; ConveyorPort, a workstation that offers access to all bins; Carousel Port which is designed to maintain workstation productivity and coordination between the man and robot; SwingPort that provides work space outside of storage area; RelayPort that offers exchange between man and robot; and FusionPort and FusionPort Staging. It also offers warehouse robots, including R5, R5+, R5 Pro, R5+ Pro, and other products under the Red Line and Black names; Bin ResQ Robot; and Unify Analytics, a cloud-based service and data platform that automates the traditional way of collecting and analyzing real-time log data. In addition, the company offers installation, maintenance, and training of personnel services. It serves retail, grocery, third party logistic, industrial, and healthcare industries. The company was formerly known as AutoStore NewCo Ltd. and changed its name to AutoStore Holdings Ltd. in October 2021. AutoStore Holdings Ltd. was founded in 1996 and is headquartered in Nedre Vats, Norway.",$35.88B,2.32M,-50.42,N/A,-50.417827988684124
KARN.SW,KARDEX N,"Kardex Holding AG provides intralogistics solutions; and supplies automated storage solutions and materials handling systems worldwide. It operates in two segments, Kardex Remstar and Kardex Mlog. The Kardex Remstar segment develops, produces, and maintains dynamic storage and retrieval systems. The Kardex Mlog segment offers integrated material handling systems and automated high bay warehouses. The company provides vertical buffer, carousel, and lift, as well as horizontal carousel modules; heavy duty units; office solutions; stacker cranes; pick and place robotics; conveyor systems; software and control solutions; and accessories, as well as AutoStore solutions. Its products are used in automated storage and retrieval systems, buffering and sequencing, order fulfillment, controlled environment, document storage, and general contractor applications. Kardex Holding AG is headquartered in Zurich, Switzerland.",$1.9B,0.01M,49.51,N/A,49.511555510124424
ZBRA,Zebra Technologies Corporation,"Zebra Technologies Corporation, together with its subsidiaries, provides enterprise asset intelligence solutions in the automatic identification and data capture solutions industry worldwide. It operates in two segments, Asset Intelligence & Tracking, and Enterprise Visibility & Mobility. The company designs, manufactures, and sells printers that produce labels, wristbands, tickets, receipts, and plastic cards; dye-sublimination thermal card printers that produce images, which are used for personal identification, access control, and financial transactions; radio frequency identification device (RFID) printers that encode data into passive RFID transponders; accessories and options for printers, including carrying cases, vehicle mounts, and battery chargers; stock and customized thermal labels, wristbands, receipts, ribbons, plastic cards, and RFID tags for printers; and electronic sensors and temperature-monitoring labels. It also provides various maintenance, technical support, repair, and managed and professional services; fixed readers, RFID enabled mobile computers, and RFID sleds; tags, sensors, exciters, middleware software, and application software; and physical inventory management solutions, and rugged and enterprise-grade mobile computing products and accessories, as well as real-time location systems and services. In addition, the company offers barcode scanners and imagers, RFID readers, industrial machine vision cameras, and fixed industrial scanners; workforce management, workflow execution and task management, and prescriptive analytics, as well as communications and collaboration solutions; and cloud-based software subscriptions, retail, and robotics automation solutions. The company serves retail and e-commerce, manufacturing, transportation and logistics, healthcare, public sector, and other industries through direct sales force and network of channel partners. The company was founded in 1969 and is headquartered in Lincolnshire, Illinois.",$14.9B,0.4M,0.65,N/A,0.6525302760744124
KGX.DE,KION GROUP AG                 I,"KION GROUP AG provides industrial trucks and supply chain solutions in Western and Eastern Europe, the Middle East, Africa, North America, Central and South America, China, and the rest of the Asia Pacific. It operates through Industrial Trucks & Services; and Supply Chain Solutions segments. The company offers forklift and heavy trucks, counterbalance trucks with electric drive and internal combustion engine, intralogistics systems, components and spare parts, narrow aisle trucks, lithium-ion batteries, and industrial and warehouse trucks under the Linde, STILL, Baoli, Fenwick, and OM brands. It also leases and rents industrial trucks and related equipment; and provides maintenance and repair services, fleet management solutions, driver assistance systems, and service options, as well as finance solutions. In addition, the company offers integrated technology and software solutions, automated guided vehicle systems, warehouse automation solutions, palletizers, storage and picking equipment, automated storage and retrieval systems, system components and racking, sorters, and conveyors under the Dematic brand. Further, it provides logistics solutions; and the Control Tower software, which integrates AI-supported forecasting models. The company was formerly known as KION Holding 1 GmbH. KION GROUP AG was founded in 2006 and is headquartered in Frankfurt am Main, Germany.",$5.67B,0.26M,45.09,N/A,45.08952745740588
ABBN.SW,ABB LTD N,"ABB Ltd provides electrification, motion, and automation solutions and products for customers in utilities, industry and transport, and infrastructure in Switzerland, rest of Europe, the Americas, the United States, rest of Asia, the Middle East, Africa, China, and internationally. The company operates through Electrification, Motion, Process Automation, and Robotics & Discrete Automation segments. Its Electrification segment offers renewable power solutions, modular substation packages, distribution automation products, switchboards and panelboards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. The company's Motion segment designs, manufactures, and sells drives, motors, generators, and traction converters that are driving the low-carbon future for industries, cities, infrastructure, and transportation. The company's Process Automation segment provides control technologies, industrial software, advanced analytics, sensing and measurement technology, and marine propulsion systems; and repair, remote monitoring, preventive maintenance, asset performance management, emission monitoring, and cybersecurity services. The company's Robotics & Discrete Automation segment offers industrial and collaborative robots, autonomous mobile robotics, mapping and navigation solutions, robotic solutions, field services, spare parts, and digital services. This segment also provides solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. It serves oil, gas, renewables, chemicals, mining, metals, cement, pulp and paper, pharmaceuticals, battery manufacturing, food and beverage, space, power generation, water, marine, and ports industries. The company was founded in 1883 and is headquartered in Zurich, Switzerland.",$91.67B,3.0M,71.31,N/A,71.31344307942702
CGNX,Cognex Corporation,"Cognex Corporation provides machine vision products that capture and analyze visual information to automate manufacturing and distribution tasks worldwide. Its machine vision products are used to automate the manufacturing and tracking of discrete items, including mobile phones, automotive components, and e-commerce packages by locating, identifying, inspecting, and measuring them. The company offers VisionPro software, a suite of patented vision tools for advanced programming; In-Sight product line of vision systems and sensors; QuickBuild that allows customers to build vision applications with a graphical, flowchart-based programming interface; and DataMan, an image-based barcode readers and barcode verifiers; vision accessories, such as industrial cameras, lenses, lighting, vision controllers, frame grabbers, and I/O cards. It sells its products to automotive, logistics, consumer electronics, medical-related, semiconductor, consumer products, and food and beverage industries through a network of distributors and integrators. The company was incorporated in 1981 and is headquartered in Natick, Massachusetts.",$5.24B,1.19M,-35.19,N/A,-35.18506079639726
6383.T,DAIFUKU CO LTD,"Daifuku Co., Ltd. provides consulting, engineering, design, manufacture, installation, and after-sales services for logistics systems and material handling equipment in Japan and internationally. It offers automated storage, transport, sorting, and picking systems to distributors, including e-commerce, retail, wholesale, transportation, and warehousing customers, as well as to food, chemicals, and pharmaceuticals manufactures; and cleanroom transport and storage systems used in manufacturing semiconductors and flat panel displays for electronics companies and component manufacturers. The company also provides systems for automobile production processes; and solutions for airports comprising baggage handling systems, automated baggage check-in systems, baggage screening systems, and software and controls. In addition, it offers car wash machines and related products to filling stations and car dealers; and industrial computers, measuring/control systems, and IoT solutions. The company was formerly known as Daifuku Machinery Works Co., Ltd. Daifuku Co., Ltd. was incorporated in 1937 and is headquartered in Osaka, Japan.",$1394.26B,1.74M,64.69,N/A,64.69385424496686
MANH,"Manhattan Associates, Inc.","Manhattan Associates, Inc. develops, sells, deploys, services, and maintains software solutions to manage supply chains, inventory, and omni-channel operations. It offers warehouse management solution for managing goods and information across the distribution centers; Manhattan Active Warehouse Management, a cloud native and version less application for the associate; and transportation management solution for helping shippers navigate their way through the demands and meet customer service expectations at the lowest possible freight costs; Manhattan SCALE, a portfolio of logistics execution solution; and Manhattan Active Omni, which offers order management, store inventory and fulfillment, call center, POS, and customer engagement tools for enterprises and stores. The company also provides inventory optimization and allocation solutions; technology platform including Manhattan Active Platform solutions, a cloud-native product designed to provide version-less product access; maintenance services, which offers on-premises software licensees with software upgrades for additional or improved functionality and technological advances; and professional services, such as solutions planning and implementation, and related consulting services. In addition, it provides training and change management services; and resells computer hardware, radio frequency terminal networks, radio frequency identification chip readers, bar code printers and scanners, and other peripherals. The company offers products through direct sales personnel and partnership agreements with various organizations. It serves retail, consumer goods, food and grocery, logistics service providers, industrial and wholesale, high technology and electronics, life sciences, and government industries. The company operates in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. Manhattan Associates, Inc. was founded in 1990 and is headquartered in Atlanta, Georgia.",$10.46B,0.46M,18.51,N/A,18.50928311702094
